name,store_id,phone,postalCode,address,city,state,country,ingredients,urls
Aberdeen Supercenter,1968,410-273-9200,21001,645 S Philadelphia Blvd,Aberdeen,MD,US,Eggs,https://www.walmart.com/store/1968/search?query=Eggs
Aberdeen Supercenter,1968,410-273-9200,21001,645 S Philadelphia Blvd,Aberdeen,MD,US,Almonds,https://www.walmart.com/store/1968/search?query=Almonds
Aberdeen Supercenter,1968,410-273-9200,21001,645 S Philadelphia Blvd,Aberdeen,MD,US,Chicken breast,https://www.walmart.com/store/1968/search?query=Chicken%20breast
Aberdeen Supercenter,1968,410-273-9200,21001,645 S Philadelphia Blvd,Aberdeen,MD,US,Oats,https://www.walmart.com/store/1968/search?query=Oats
Aberdeen Supercenter,1968,410-273-9200,21001,645 S Philadelphia Blvd,Aberdeen,MD,US,Cottage cheese,https://www.walmart.com/store/1968/search?query=Cottage%20cheese
Aberdeen Supercenter,1968,410-273-9200,21001,645 S Philadelphia Blvd,Aberdeen,MD,US,Greek yogurt,https://www.walmart.com/store/1968/search?query=Greek%20yogurt
Aberdeen Supercenter,1968,410-273-9200,21001,645 S Philadelphia Blvd,Aberdeen,MD,US,Milk,https://www.walmart.com/store/1968/search?query=Milk
Aberdeen Supercenter,1968,410-273-9200,21001,645 S Philadelphia Blvd,Aberdeen,MD,US,Broccoli,https://www.walmart.com/store/1968/search?query=Broccoli
Aberdeen Supercenter,1968,410-273-9200,21001,645 S Philadelphia Blvd,Aberdeen,MD,US,Lean beef,https://www.walmart.com/store/1968/search?query=Lean%20beef
Aberdeen Supercenter,1968,410-273-9200,21001,645 S Philadelphia Blvd,Aberdeen,MD,US,Tuna,https://www.walmart.com/store/1968/search?query=Tuna
Aberdeen Supercenter,1968,410-273-9200,21001,645 S Philadelphia Blvd,Aberdeen,MD,US,Quinoa,https://www.walmart.com/store/1968/search?query=Quinoa
Aberdeen Supercenter,1968,410-273-9200,21001,645 S Philadelphia Blvd,Aberdeen,MD,US,Whey protein supplements,https://www.walmart.com/store/1968/search?query=Whey%20protein%20supplements
Aberdeen Supercenter,1968,410-273-9200,21001,645 S Philadelphia Blvd,Aberdeen,MD,US,Lentils,https://www.walmart.com/store/1968/search?query=Lentils
Aberdeen Supercenter,1968,410-273-9200,21001,645 S Philadelphia Blvd,Aberdeen,MD,US,Ezekiel bread,https://www.walmart.com/store/1968/search?query=Ezekiel%20bread
Aberdeen Supercenter,1968,410-273-9200,21001,645 S Philadelphia Blvd,Aberdeen,MD,US,Pumpkin seeds,https://www.walmart.com/store/1968/search?query=Pumpkin%20seeds
Aberdeen Supercenter,1968,410-273-9200,21001,645 S Philadelphia Blvd,Aberdeen,MD,US,Turkey breast,https://www.walmart.com/store/1968/search?query=Turkey%20breast
Aberdeen Supercenter,1968,410-273-9200,21001,645 S Philadelphia Blvd,Aberdeen,MD,US,Fish,https://www.walmart.com/store/1968/search?query=Fish
Aberdeen Supercenter,1968,410-273-9200,21001,645 S Philadelphia Blvd,Aberdeen,MD,US,Shrimp,https://www.walmart.com/store/1968/search?query=Shrimp
Aberdeen Supercenter,1968,410-273-9200,21001,645 S Philadelphia Blvd,Aberdeen,MD,US,Brussels sprouts,https://www.walmart.com/store/1968/search?query=Brussels%20sprouts
Aberdeen Supercenter,1968,410-273-9200,21001,645 S Philadelphia Blvd,Aberdeen,MD,US,Peanuts,https://www.walmart.com/store/1968/search?query=Peanuts
Abingdon Store,2009,410-569-9403,21009,401 Constant Friendship Blvd,Abingdon,MD,US,Eggs,https://www.walmart.com/store/2009/search?query=Eggs
Abingdon Store,2009,410-569-9403,21009,401 Constant Friendship Blvd,Abingdon,MD,US,Almonds,https://www.walmart.com/store/2009/search?query=Almonds
Abingdon Store,2009,410-569-9403,21009,401 Constant Friendship Blvd,Abingdon,MD,US,Chicken breast,https://www.walmart.com/store/2009/search?query=Chicken%20breast
Abingdon Store,2009,410-569-9403,21009,401 Constant Friendship Blvd,Abingdon,MD,US,Oats,https://www.walmart.com/store/2009/search?query=Oats
Abingdon Store,2009,410-569-9403,21009,401 Constant Friendship Blvd,Abingdon,MD,US,Cottage cheese,https://www.walmart.com/store/2009/search?query=Cottage%20cheese
Abingdon Store,2009,410-569-9403,21009,401 Constant Friendship Blvd,Abingdon,MD,US,Greek yogurt,https://www.walmart.com/store/2009/search?query=Greek%20yogurt
